user_id,created_at,screen_name,name,text,lang,description,followers_count,gender,state,depressed,keyword
x1286809663623827458,2021-04-17T03:48:27Z,ArtajAlazmi,ارتـاج,the best way to avoid disappointment is to not expect anything from anyone.,en,غنية بالله عن العالمين,86,female,Illinois,1,0
x966170607535689728,2021-04-17T03:48:27Z,suemedarling,Moca sASHA TE AMO,@grandelovesick2 quEEENS @ BLACKPINK,en,"fuck boys, no Levi my boy || -R-",2081,female,New York,0,0
x113430220,2021-04-16T03:20:16Z,SKastenbaum,Steve Kastenbaum,"On this particular overnight, the chaos had subsided &amp; most people had gone home. Police retreated past an intersection &amp; formed a defensive line, around 200 officers plus armored vehicles. Only a few community ""violence interrupters"" were still out. Everyone was tired &amp; anxious.",en,"Radio Journalist, Former Westwood One News Senior Correspondent/NY Bureau Chief, former CNN Radio NY Correspondent, proud native Brooklynite https://t.co/uaXyusVMnh",7957,male,Montana,1,1
x848802522,2021-04-17T03:48:24Z,AoyamaOfficial,洋服の青山【公式】,"@chikakosh_1 ＼👔ご参加ありがとうございます🐮／ 

画面をタップして抽選結果を見る👀✨

「牛丼の青山ネクタイ」をGETできるチャンスは4/22まで
今日はハズレでも
毎朝10時に再びチャンスがやってくる！

当選者には後日DMをお届け✉
#洋服の青山と吉野家がネクタイを作ってみた",ja,"#新井恵理那channel×＃洋服の青山 コラボYouTube企画始まりました👏第1弾はスーツでバドミントン⁉是非チェックしてね♪コラボ特設サイト▷https://t.co/RJ34ah4rrNコラボ動画▷https://t.co/C8YVFw9T4l
はたらく人応援CP、ノンアイロンマックスの日クイズCPも4/22迄毎日開催🎉",153386,female,New York,0,0
x1376316931536515072,2021-04-17T03:48:31Z,LKS_sep_,#foraluan👑🏆🏆🏆,"@2BPierry @mxteuss_ @evandrozaf @Palmeiras outro patamar kkkkkkkkkkkkkkkkkkkkkkkkkkkkk irmao, começa a assistir os jogos do palmeiras pra vc ver uma coisa",pt,.,12,female,New York,0,0
x1382500254428360707,2021-04-16T00:18:35Z,majeed032,مجيد القرني | 💉🧑🏻‍⚕️مقيد..,@ibf_q I’m so lonely,en,ولعلنا من بعد بُعدٍ نلتقي |,616,female,New Jersey,0,1
x1382847646260457475,2021-04-17T03:48:22Z,PrivateXj11guy,XJ11_Guy alt,"@bonfire14_guy Sonic murdered honey!!!!

Why?",en,Well. This is my alt account. my un-blocked account is @thexj11guy.,45,male,California,0,0
x1317443992703754241,2021-04-17T03:48:13Z,evanslovebot,james.,@hwngfvr @haloschavvy heart attack,en,he/they.,850,female,Indiana,0,0
x1209151951159607297,2021-04-15T21:48:21Z,riel_empire,🖤🌼the_gods™,"@cooltemi2 Bitch😭, I'm depressed rn💔",en,"🙂🖤


A nigga. I'm just books, movies and Eminem. Introverted. I take risks for a living",1093,female,Louisiana,0,1
x225442825,2021-04-16T03:01:50Z,edwardrcarr,Ed Carr,"@_SeanJacobs He carried so much gold on the Hajj, he depressed the currency of Egypt. Kind of staggering. (I used to teach this in Intro Human Geography - globalization isn’t new!)",en,Professor+Director @ClarkIDCE|Founder @hurdltweet|adaptation @STAPGEF|@IPCC_CH AR6 LA|Masters T&F All-American|Hopelessly realistic optimist|Last two=redundant,3339,male,California,1,1
x3295568120,2021-04-17T03:48:25Z,RoboPetFlor,small robot flower??,but,und,"flor simulation online.........initiate petmeplz.exe

@_tinyflower",28,female,Louisiana,0,0
x48364948,2021-04-16T00:01:40Z,tashigolean,Tash,After watching the conversation around postpartum depression on the TL today it’s clear that y’all don’t care about mental health the way y’all say y’all do. It’s also clear that ya mama’s should’ve put y’all in the microwave.,en,$TashN22,546,female,Minnesota,1,1
x1114277825878433793,2021-04-16T02:39:09Z,nneomiee,yoyo,The panic attack I had before getting out of the car alone to get my test and having to see people I haven’t seen in a year...just proves how much my social anxiety has skyrocketed 😐,en,she/her | 17 | ♑︎ ♋︎ ♉︎,129,male,Louisiana,1,1
x125692712,2021-04-16T00:14:29Z,JRtheWriter,Jason Weintraub,"Mom: You’ll never find someone, you’re too picky

Me: I have simple standards

Same night on my crush’s IG: OMG!She picked up the baby sea turtle! Now it’s instinctive path is ruined &amp; it’s probably gonna die! YOU DUMBHEAD! *unfollow, deletes number, plays “Another Lonely Night”* https://t.co/b7AB1i4H6P",en,Corporate days Disco nights. Date planned with Vanessa White. #Discotwitter man. #StateNotSouthern #SUPPORTLOCALSOCCER,1358,male,New Jersey,1,1
x1181786810646745088,2021-04-17T03:48:25Z,emiliomontero30,Emilio,Higher Ground de Stevie Wonder es la mejor canción que existirá en el planeta tierra,es,🌎,93,male,Michigan,0,0
x1222902289607741444,2021-04-16T00:39:14Z,evarmore,rey ❗️,to be so lonely is actually one of the best songs on fine line,en,OWNED BY TAYLOR SWIFT | louis noticed | tpwk,5143,female,Connecticut,1,1
x1277463912527491072,2021-04-17T03:48:27Z,fangirlrebahan_,Cha🧚🏼‍♀️,taeyong blue,tl,"• @weareoneEXO @WannaOne_twt #taeyong • ᴛʜᴇʀᴇ ᴡɪʟʟ ʙᴇ ᴛɪᴍᴇs ᴡʜᴇɴ ɪᴛ ʙᴇᴄᴏᴍᴇs ᴛɪʀɪɴɢ, ʙᴜᴛ ᴊᴜsᴛ ʙᴇᴀʀ ᴡɪᴛʜ ɪᴛ ᴀ ʟɪᴛᴛʟᴇ, ᴀɴᴅ ɪᴛ ᴡɪʟʟ ʙᴇ ᴏᴠᴇʀ -ᴢʜᴀɴɢ ʏɪxɪɴɢ",1515,female,California,0,0
x1356746511481192448,2021-04-16T00:59:45Z,vashappeninputh,𝙸 𝚗 𝚐 𝚛 𝚢 𝚍 🌙 | vas happenin,@_LWtomlinson28 to be so lonely,en,i wanna love like you made me feel when we were eighteen,204,male,Florida,0,1
x1222699058193563648,2021-04-17T03:48:21Z,dbarai_official,d払い,"@scy2312 この度はご応募いただき、
誠にありがとうございました！

結果は・・・
残念ながら落選です😢
またチャレンジしてみてくださいね♪

ドコモユーザーじゃなくてもつかえる✨
d払いアプリのダウンロードはこちらから！
https://t.co/32CSyLcAmp https://t.co/fAK1Heuo9E",ja,"d払いの公式Twitterアカウントです。d払いのおトクで便利な活用方法や、最新情報をお届けしていきます( *ﾟ▽ﾟ* っ) 
ドコモユーザじゃなくてもつかえる✨d払いアプリのダウンロードはこちら！
https://t.co/U0HwzFfwrx",331559,female,Michigan,0,0
x2471808332,2021-04-17T03:48:33Z,wwilliam2992,Williám Htun Aung,"Youths protesting with Toy Car against military dictatorship, illustrating our demandings of the revolution. SILENT REVOLUTION #WhatsHappeningInMyanmar #WeSupportNUG #Apr16SilentStrike #ReleaseTheDetainees https://t.co/L6jicZLJQq",en,NA,38,male,Nevada,0,0
x1031140028255293440,2021-04-17T03:48:40Z,amienullahie,Catalyst😈,@Ashreeal Sahoor nakeh 😏😎,tl,"Ideal muslim🙇‍♂️/small but mighty😎/Poet📝/
FUDite🙌🏽.",5704,female,North Dakota,0,0
x2184982754,2021-04-17T03:48:15Z,mikanmikan101,いちごぱふぇ♪はちこ,"ちょっとした娯楽や
暇潰しや、ストレス解消となるものを
無駄だとか下品だとかいって
排除していけば
矛先が他人や社会にむいていくよね。
無敵の人も増えるしね。",ja,"世の中が眠い。
教員でもないし、教員だっこともない
単なる１保護者アカ。",1413,female,North Dakota,0,0
x1310679965910925312,2021-04-15T20:21:44Z,RaucheKette,Leon 🔪,When Brennan Savage said ‚suicide livin in the back of my mind‘ i felt that,en,𝔥𝔬𝔭𝔢𝔩𝔢𝔰𝔰 𝔯𝔬𝔪𝔞𝔫𝔱𝔦𝔠,94,female,Minnesota,1,1
